Unnamed: 0,Close,High,Low,Open,Volume,RSI,MACD,MA_20,Return,MA_20_ratio,Close_Open,High_Low,Volume_ratio,Volatility,Momentum_Factor,Market_Regime,Date,Sentiment,Event,RAG_Sentiment,RAG_Relevance,RAG_Event_Importance,RAG_Market_Impact,RAG_Risk_Score,RAG_Confidence,Target
2023-02-07,1052.635498046875,1062.4501695052957,1046.7466710224398,1055.4201633910932,15135435,21.181398617111284,-27.16163600528057,1100.818780517578,-0.002401102737233929,-0.043770403742610986,-0.0026384424334578993,0.015002195772466198,-0.18997648173541515,0.0077551669050625535,1,2,2023-02-07,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-08,1073.6572265625,1077.2863960062462,1053.137736379797,1055.8766387784026,21160332,35.61730079871782,-25.50061848446217,1096.106591796875,0.019970567736533607,-0.020481005590499257,0.016839645022044047,0.02293020066820617,0.10484331797538204,0.011095971384131901,1,4,2023-02-08,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-09,1075.52880859375,1082.284961068636,1065.463103759131,1074.341987106508,13172763,36.72839073558007,-23.759346151020736,1092.2240844726562,0.0017431839370580793,-0.015285577489317914,0.0011046961782053,0.015788305808201786,-0.31502852936964076,0.010421772872285214,0,4,2023-02-09,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-10,1066.6729736328125,1075.00402903085,1059.6656668626474,1075.00402903085,10790445,33.75958070432779,-22.830788038786523,1089.1438842773437,-0.008233935613976229,-0.02063171906753236,-0.007749789929204498,0.014474718439840384,-0.39130088860933376,0.008799223037281907,0,4,2023-02-10,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-13,1060.6014404296875,1072.7670546240695,1056.127767130611,1068.293381324993,10352493,31.85825699662537,-22.327444154649584,1085.8513977050782,-0.0056920287222117505,-0.02325360295962764,-0.0072002139391385,0.01575499481342657,-0.37579548445113486,0.00826099997526628,0,4,2023-02-13,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-14,1085.5946044921875,1087.329254712915,1060.738368480938,1063.6143185684562,14321920,45.472215458824394,-19.684885925287062,1084.3449584960938,0.023565085912361505,0.0011524432204921276,0.02066565440122603,0.025068279815367633,-0.09056379739804665,0.011424670816346873,1,0,2023-02-14,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-15,1110.1768798828125,1112.5735854842064,1083.2664969637603,1084.6358877756606,33503591,54.99596851279859,-15.429197128383066,1083.275616455078,0.022644065555321946,0.024833258516208767,0.02354798729694485,0.027054366217906356,0.9520017397637628,0.012947725044358654,0,3,2023-02-15,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-16,1109.3096923828125,1124.716518210531,1107.027213083921,1118.165755531408,17264487,54.63345470785303,-11.988314058120524,1082.2564880371094,-0.0007811255266741979,0.02499703595657765,-0.00792017024737679,0.01597910594928531,-0.014802933047065148,0.012644931154877711,1,3,2023-02-16,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-17,1113.9429931640625,1117.2754874405753,1100.4306882070916,1104.7217922905263,11809520,56.29122553647065,-8.786238495642692,1081.5295104980469,0.004176742358842578,0.0299700399770777,0.008347079724404516,0.015307460446171817,-0.2725837658304541,0.01258536957195353,0,3,2023-02-17,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-20,1102.1654052734375,1118.3025060122343,1100.202422672568,1116.1341329085612,8836937,51.1723487228466,-7.116884442291166,1080.8847045898438,-0.010572882062098832,0.01968822446393026,-0.012515276814196397,0.016451593785531182,-0.43479025301794383,0.012946177691178881,1,3,2023-02-20,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-02-21,1111.158447265625,1116.9558691842672,1101.22954869757,1106.547846833629,13311592,54.56951131826786,-5.0104882080399875,1080.9714416503907,0.008159430471287976,0.027925812331494937,0.004166652571950813,0.014280692436283493,-0.138542549484844,0.012755275239499963,0,3,2023-02-21,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-22,1085.9598388671875,1109.2868172204337,1084.2023673241313,1107.4380609994969,11024335,45.10082723940682,-5.313223586686718,1080.12578125,-0.022677781427524635,0.005401276146224321,-0.019394513236184685,0.023136317215587843,-0.23647888586483978,0.014402148949420867,0,0,2023-02-22,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-02-23,1080.7557373046875,1093.1953270218976,1077.9483712962124,1085.5490279902117,9851910,43.42498501429045,-5.905001873100218,1079.782269287109,-0.004792167607163611,0.0009015410284713976,-0.00441554509463149,0.014144421135263707,-0.3016159741706136,0.014524191738843548,1,0,2023-02-23,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
